Time,Input,Height
9.719137161,1,0.476356324
9.720072018,1,0.476420102
9.721007018,1,0.4764823
9.721942018,1,0.476545581
9.722877018,1,0.476609474
9.723812018,1,0.476674318
9.724747018,1,0.476740383
9.725682018,1,0.476806385
9.726617018,1,0.476873069
9.727551875,1,0.476941611
9.728486875,1,0.477009966
9.729421875,1,0.47708104
9.730356875,1,0.477152316
9.731291875,1,0.477224647
9.732226875,1,0.477299289
9.733161875,1,0.477375143
9.734096875,1,0.477451623
9.735031732,1,0.477529948
9.735966732,1,0.477608586
9.736901732,1,0.477686253
9.737836732,1,0.477764399
9.738771732,1,0.477845456
9.739706732,1,0.477926253
9.740641732,1,0.478007
9.741576732,1,0.478091164
9.74251159,1,0.478175343
9.74344659,1,0.478257184
9.744381589,1,0.478339514
9.745316589,1,0.478421494
9.74625159,1,0.478504769
9.74718659,1,0.478587691
9.74812159,1,0.478671174
9.749056447,1,0.478754386
9.749991447,1,0.478838016
9.750926447,1,0.478921823
9.751861447,1,0.479007822
9.752796447,1,0.479094825
9.753731447,1,0.479185351
9.754666447,1,0.479276773
9.755601447,1,0.479369836
9.756536304,1,0.479466204
9.757471304,1,0.479562162
9.758406304,1,0.479659022
9.759341304,1,0.479756129
9.760276304,1,0.479853625
9.761211304,1,0.479952262
9.762146304,1,0.480055795
9.763081304,1,0.48015844
9.764016161,1,0.480260733
9.764951161,1,0.480362582
9.765886161,1,0.480467354
9.766821161,1,0.480572524
9.767756161,1,0.480680386
9.768691161,1,0.480789337
9.769626161,1,0.480902055
9.770561161,1,0.481017945
9.771496018,1,0.481134423
9.772431018,1,0.481251857
9.773366018,1,0.481370953
9.774301018,1,0.481492428
9.775236018,1,0.481613926
9.776171018,1,0.48173569
9.777106018,1,0.481857992
9.778041018,1,0.481980347
9.778975875,1,0.482102649
9.779910875,1,0.482224915
9.780845875,1,0.482351995
9.781780875,1,0.482479172
9.782715875,1,0.482604994
9.783650875,1,0.482732141
9.784585875,1,0.482860234
9.785520875,1,0.482989986
9.786455732,1,0.483120044
9.787390732,1,0.483252556
9.788325732,1,0.483383611
9.789260732,1,0.483519789
9.790195732,1,0.483654785
9.791130732,1,0.483791251
9.792065732,1,0.483929276
9.793000732,1,0.484066737
9.79393559,1,0.484206808
9.794870589,1,0.484347048
9.79580559,1,0.484486981
9.796740589,1,0.484627248
9.79767559,1,0.484771627
9.798610589,1,0.484916454
9.79954559,1,0.48506604
9.80048059,1,0.48521582
9.801415447,1,0.48536438
9.802350447,1,0.485511166
9.803285447,1,0.485658311
9.804220447,1,0.485804054
9.805155447,1,0.485947994
9.806090447,1,0.48609232
9.807025447,1,0.486235009
9.807960447,1,0.486376007
9.808895304,1,0.486516155
9.809830304,1,0.486656229
9.810765304,1,0.486796241
9.811700304,1,0.486935636
9.812635304,1,0.487074031
9.813570304,1,0.487210355
9.814505304,1,0.487346143
9.815440304,1,0.48748071
9.816375161,1,0.487614212
9.817310161,1,0.487746594
9.818245161,1,0.487877227
9.819180161,1,0.488007791
9.820115161,1,0.488137671
9.821050161,1,0.488265595
9.821985161,1,0.488393181
9.822920018,1,0.488517995
9.823855018,1,0.488642445
9.824790018,1,0.488765461
9.825725018,1,0.488886036
9.826660018,1,0.489005258
