Time,Input,Height
0.142402078,0,0.339210181
0.142774863,0,0.340173569
0.143147634,0,0.341142066
0.14352042,0,0.342112736
0.143893205,0,0.343085536
0.144265977,0,0.344062459
0.144638763,0,0.345043874
0.145011534,0,0.346029552
0.14538432,0,0.347018776
0.145757105,0,0.348010917
0.146129877,0,0.349006099
0.146502663,0,0.350002707
0.146875448,0,0.350999562
0.14724822,0,0.35199714
0.147621005,0,0.352994656
0.147993777,0,0.353990287
0.148366563,0,0.354979879
0.148739348,0,0.35595962
0.14911212,0,0.356930764
0.149484905,0,0.357895019
0.149857691,0,0.358852362
0.150230463,0,0.359802609
0.150603248,0,0.360743452
0.15097602,0,0.361669484
0.151348805,0,0.362580084
0.151721591,0,0.363475269
0.152094363,0,0.364348598
0.152467148,0,0.365203501
0.15283992,0,0.366048583
0.153212705,0,0.366895298
0.153585491,0,0.367744175
0.153958263,0,0.368592542
0.154331048,0,0.369438279
0.154703834,0,0.370285169
0.155076605,0,0.371129197
0.155449391,0,0.371973479
0.155822163,0,0.372816099
0.156194948,0,0.373660186
0.156567734,0,0.374505347
0.156940505,0,0.375344824
0.157313291,0,0.376181148
0.157686077,0,0.377017283
0.158058848,0,0.377853781
0.158431634,0,0.378688011
0.158804405,0,0.379518705
0.159177191,0,0.380343128
0.159549977,0,0.381156361
0.159922748,0,0.381958394
0.160295534,0,0.382752196
0.16066832,0,0.383546388
0.161041091,0,0.384342518
0.161413877,0,0.385139426
0.161786648,0,0.385937057
0.162159434,0,0.386735768
0.16253222,0,0.387535376
0.162904991,0,0.388335811
0.163277777,0,0.389134689
0.163650563,0,0.389927864
0.164023334,0,0.390713672
0.16439612,0,0.391491651
0.164768891,0,0.392261667
0.165141677,0,0.393025732
0.165514463,0,0.393786399
0.165887234,0,0.394546566
0.16626002,0,0.395308528
0.166632791,0,0.39606371
0.167005577,0,0.396811591
0.167378363,0,0.397554161
0.167751134,0,0.398292003
0.16812392,0,0.399024133
0.168496705,0,0.399745006
0.168869477,0,0.400454895
0.169242263,0,0.401157799
0.169615034,0,0.401850618
0.16998782,0,0.4025339
0.170360605,0,0.403208185
0.170733377,0,0.403872775
0.171106163,0,0.404527733
0.171478948,0,0.405177557
0.17185172,0,0.405824673
0.172224505,0,0.406467763
0.172597277,0,0.407108744
0.172970063,0,0.407750766
0.173342848,0,0.408395713
0.17371562,0,0.409044052
0.174088405,0,0.409690055
0.174461191,0,0.410334523
0.174833963,0,0.410978527
